Model,Accuracy,Precision,Recall,F1 Score
Linear SVM,0.9658546741619821,0.9619034888383906,0.9720383628258814,0.9669443697930664
Logistic Regression,0.951627455062808,0.9465903036760789,0.9600162096447387,0.95325598551405
Naive Bayes,0.8775071136095496,0.8680156657963446,0.8981493988923409,0.8828254663745602
